,nodes,louvain_nx,leiden_nx,walktrap_nx,walktrap_ig,girvan_newman_nx,girvan_newman_ig,markov_nx,lead_eigenvector_nx,lead_eigenvector_ig,optimal_mod_ig,infomap_nx,infomap_ig,fast_greedy_ig,multilevel_ig,spinglass_nx,spinglass_ig,label_prop_nx,label_prop_ig
0,"(0, 1)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
1,"(0, 2)",1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
2,"(0, 3)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
3,"(0, 4)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1
4,"(0, 5)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
5,"(0, 6)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
6,"(0, 7)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
7,"(0, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"(0, 9)",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
9,"(0, 10)",0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1
10,"(0, 11)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,"(0, 12)",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
12,"(0, 13)",1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1
13,"(0, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,"(0, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,"(0, 16)",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
16,"(0, 17)",1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1
17,"(0, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"(0, 19)",1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
19,"(0, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"(0, 21)",1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
21,"(0, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"(0, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"(0, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"(0, 25)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,"(0, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"(0, 27)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,"(0, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"(0, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"(0, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"(0, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"(0, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"(0, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"(1, 2)",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
34,"(1, 3)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,"(1, 4)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
36,"(1, 5)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,"(1, 6)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,"(1, 7)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,"(1, 8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"(1, 9)",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
41,"(1, 10)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
42,"(1, 11)",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
43,"(1, 12)",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
44,"(1, 13)",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,"(1, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,"(1, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,"(1, 16)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
48,"(1, 17)",1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
49,"(1, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"(1, 19)",1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1
51,"(1, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"(1, 21)",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
53,"(1, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"(1, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"(1, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"(1, 25)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
