,vertices,k_level_degree_node_1,k_level_degree_node_2,no_of_triangles_node_1,no_of_triangles_node_2,clique_number_node_1,clique_number_node_2,coreness_node_1,coreness_node_2,betweenness_node_1,betweenness_node_2,closeness_node_1,closeness_node_2,harmonic_node_1,harmonic_node_2,eigenvector_node_1,eigenvector_node_2,decay_node_1,decay_node_2,pagerank_node_1,pagerank_node_2,loc_clust_coef_node_1,loc_clust_coef_node_2,glob_clust_coef_node_1,glob_clust_coef_node_2,shannon_node_1,shannon_node_2,h_index_node_1,h_index_node_2,nbd_density_node_1,nbd_density_node_2,RWR_node_1,RWR_node_2,local_random_walk_node_1,local_random_walk_node_2,are_connected,common_triangles,common_neighbors,jaccard_index,sorenson_dice,hub_promoted,hub_depressed,leicht_holme_newman,resource_allocation,adamic_adar,pref_attachment,overlap_coeff,nbd_overlap,edge_connectivity,avg_commute_time,cosine_L+,L+,matrix_forest_index
0,"(0, 1)",16,9,18,12,5,5,4,4,88.41666666666666,7.75,1.0,0.9,1.0,0.9444444444444444,1.0,0.9692407329910604,8.0,5.0,0.22490473695898955,0.18159708807555924,0.15,0.42857142857142855,0.36231884057971014,0.5757575757575758,1.0,1.0,5,4,0.25,0.4666666666666667,0.2663736031484309,0.22435018352470834,0.09699728538829475,0.05287692406114573,1,7,9,0.5,0.6666666666666666,0.7777777777777778,0.4375,0.04861111111111111,2.05,6.130716871863356,144,0.7777777777777778,0.5625,8,0.06640532918500054,0.22947059894672492,0.027734595081863274,0.0405362442810881
1,"(0, 2)",16,10,18,10,5,5,4,4,88.41666666666666,2.25,1.0,0.7142857142857143,1.0,0.8,1.0,0.8566275380473687,8.0,5.5,0.22490473695898955,0.13060383617745283,0.15,0.6666666666666667,0.36231884057971014,0.5625,1.0,1.0,5,5,0.25,0.38181818181818183,0.2663736031484309,0.21500978351953767,0.09699728538829475,0.057078509488462034,1,5,7,0.3333333333333333,0.5,0.5,0.3125,0.03125,0.9277777777777778,2.9772476294283714,160,0.5,0.3684210526315789,5,0.0617481969017737,0.03901838853600641,0.0041850575413707345,0.032526440757476315
2,"(0, 3)",16,6,18,10,5,5,4,4,88.41666666666666,2.25,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.5,0.22490473695898955,0.18433699645765958,0.15,0.6666666666666667,0.36231884057971014,0.8095238095238095,1.0,1.0,5,4,0.25,0.7619047619047619,0.2663736031484309,0.2060466647442102,0.09699728538829475,0.035859857786411375,1,5,7,0.4117647058823529,0.5833333333333334,0.8333333333333334,0.3125,0.052083333333333336,1.1611111111111112,3.6747915911097273,96,0.8333333333333334,0.4666666666666667,5,0.051261843082783184,0.22911948530988507,0.033287270173546,0.04263506158730845
3,"(0, 4)",16,3,18,2,5,3,4,2,88.41666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0.22490473695898955,0.2952127659574468,0.15,0.6666666666666666,0.36231884057971014,0.75,1.0,1.0,5,3,0.25,0.8333333333333334,0.2663736031484309,0.20143086553896364,0.09699728538829475,0.021977952364589538,1,2,4,0.23529411764705882,0.38095238095238093,0.6666666666666666,0.125,0.041666666666666664,0.5833333333333333,1.631586747071319,48,0.6666666666666666,0.26666666666666666,3,0.027576197387518077,0.2820007677692547,0.06106902763091485,0.046995499609384206
4,"(0, 5)",16,4,18,2,5,3,4,2,88.41666666666666,0.5,1.0,0.8,1.0,0.875,1.0,0.8406653218024889,8.0,2.5,0.22490473695898955,0.2124087591240876,0.15,0.6666666666666666,0.36231884057971014,0.6428571428571429,1.0,1.0,5,3,0.25,0.7,0.2663736031484309,0.229202310780782,0.09699728538829475,0.029111154678370145,1,2,4,0.2222222222222222,0.36363636363636365,0.5,0.125,0.03125,0.5833333333333333,1.631586747071319,64,0.5,0.25,3,0.029230769230769147,0.26945100444185216,0.05616706684660104,0.043380461177893084
5,"(0, 6)",16,4,18,2,5,3,4,2,88.41666666666666,0.5,1.0,0.8,1.0,0.875,1.0,0.8406653218024883,8.0,2.5,0.22490473695898955,0.2124087591240876,0.15,0.6666666666666666,0.36231884057971014,0.6428571428571429,1.0,1.0,5,3,0.25,0.7,0.2663736031484309,0.229202310780782,0.09699728538829475,0.029111154678370138,1,2,4,0.2222222222222222,0.36363636363636365,0.5,0.125,0.03125,0.5833333333333333,1.631586747071319,64,0.5,0.25,2,0.02923076923076914,0.2694510044418523,0.056167066846601076,0.043380461177893084
6,"(0, 7)",16,4,18,6,5,5,4,4,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,8.0,2.5,0.22490473695898955,0.2,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,5,4,0.25,1.0,0.2663736031484309,0.18363266443077278,0.09699728538829475,0.024490497035282385,1,3,5,0.29411764705882354,0.45454545454545453,0.75,0.1875,0.046875,0.37777777777777777,1.4475247217679177,64,0.75,0.3333333333333333,4,0.039726123035424415,0.19619360452745122,0.032794477803002056,0.04266075685522644
7,"(0, 8)",16,5,18,1,5,4,4,3,88.41666666666666,0.0,1.0,0.625,1.0,0.7000000000000001,1.0,0.4725163600787216,8.0,3.0,0.22490473695898955,0.10973438797380142,0.15,1.0,0.36231884057971014,0.6923076923076923,1.0,1.0,5,4,0.25,0.6666666666666667,0.2663736031484309,0.1824831111392692,0.09699728538829475,0.029766056081016963,1,1,3,0.15,0.2608695652173913,0.2,0.0625,0.0125,0.1,0.43429448190325176,80,0.2,0.16666666666666666,2,0.039856487565097666,-0.030271690217570833,-0.004360775350143085,0.030548636909043286
8,"(0, 9)",16,2,18,0,5,2,4,1,88.41666666666666,0.0,1.0,0.6666666666666666,1.0,0.75,1.0,0.7071067811865476,8.0,2.0,0.22490473695898955,0.25675675675675674,0.15,0.0,0.36231884057971014,0.0,1.0,1.0,5,2,0.25,0.6666666666666666,0.2663736031484309,0.16684982397327497,0.09699728538829475,0.014309397129032916,0,0,1,0.05263157894736842,0.1,0.5,0.0625,0.03125,0.1,0.43429448190325176,32,0.0625,0.058823529411764705,2,0.0189145773486576,-0.1328716512532135,-0.029678876924699473,0.016478722469620375
9,"(0, 10)",16,3,18,2,5,3,4,2,88.41666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0.22490473695898955,0.2952127659574468,0.15,0.6666666666666666,0.36231884057971014,0.75,1.0,1.0,5,3,0.25,0.8333333333333334,0.2663736031484309,0.2014308655389636,0.09699728538829475,0.021977952364589538,1,2,4,0.23529411764705882,0.38095238095238093,0.6666666666666666,0.125,0.041666666666666664,0.5833333333333333,1.631586747071319,48,0.6666666666666666,0.26666666666666666,2,0.027576197387518087,0.2820007677692546,0.06106902763091482,0.046995499609384164
